"","PA","SZ","YOUNG","ECONOMY ACTIVE","AGED","TOTAL","DEPENDENCY"
"1","ANG MO KIO","ANG MO KIO TOWN CENTRE",410,750,340,3532,1
"2","ANG MO KIO","ANG MO KIO TOWN CENTRE",100,200,60,2362,0.8
"3","ANG MO KIO","ANG MO KIO TOWN CENTRE",30,120,70,2232,0.833333333333333
"4","ANG MO KIO","ANG MO KIO TOWN CENTRE",120,270,120,2542,0.888888888888889
"5","ANG MO KIO","ANG MO KIO TOWN CENTRE",410,750,290,3432,0.933333333333333
"6","ANG MO KIO","ANG MO KIO TOWN CENTRE",110,160,40,2302,0.9375
"7","ANG MO KIO","ANG MO KIO TOWN CENTRE",30,110,30,2192,0.545454545454545
"8","ANG MO KIO","ANG MO KIO TOWN CENTRE",120,260,90,2492,0.807692307692308
"9","ANG MO KIO","CHENG SAN",80,170,250,2502,1.94117647058824
"10","ANG MO KIO","CHENG SAN",500,1110,430,4032,0.837837837837838
"11","ANG MO KIO","CHENG SAN",80,180,120,2392,1.11111111111111
"12","ANG MO KIO","CHENG SAN",780,2710,1820,7392,0.959409594095941
"13","ANG MO KIO","CHENG SAN",1000,2960,1740,7702,0.925675675675676
"14","ANG MO KIO","CHENG SAN",130,220,170,2512,1.36363636363636
"15","ANG MO KIO","CHENG SAN",570,1070,410,3992,0.91588785046729
"16","ANG MO KIO","CHENG SAN",80,180,100,2372,1
"17","ANG MO KIO","CHENG SAN",880,2530,1450,6852,0.920948616600791
"18","ANG MO KIO","CHENG SAN",1140,2820,1430,7302,0.911347517730496
"19","ANG MO KIO","CHENG SAN",0,40,10,2072,0.25
"20","ANG MO KIO","CHONG BOON",170,320,210,2682,1.1875
"21","ANG MO KIO","CHONG BOON",370,880,510,3772,1
"22","ANG MO KIO","CHONG BOON",50,110,80,2262,1.18181818181818
"23","ANG MO KIO","CHONG BOON",740,2420,1860,7112,1.07438016528926
"24","ANG MO KIO","CHONG BOON",890,2550,1640,7072,0.992156862745098
"25","ANG MO KIO","CHONG BOON",0,50,120,2192,2.4
"26","ANG MO KIO","CHONG BOON",200,390,260,2812,1.17948717948718
"27","ANG MO KIO","CHONG BOON",400,860,420,3662,0.953488372093023
"28","ANG MO KIO","CHONG BOON",50,130,90,2292,1.07692307692308
"29","ANG MO KIO","CHONG BOON",930,2230,1460,6592,1.07174887892377
"30","ANG MO KIO","CHONG BOON",950,2470,1370,6722,0.939271255060729
"31","ANG MO KIO","CHONG BOON",0,80,190,2302,2.375
"32","ANG MO KIO","KEBUN BAHRU",180,480,400,3062,1.20833333333333
"33","ANG MO KIO","KEBUN BAHRU",200,310,140,2652,1.09677419354839
"34","ANG MO KIO","KEBUN BAHRU",430,790,410,3592,1.06329113924051
"35","ANG MO KIO","KEBUN BAHRU",720,2150,1400,6352,0.986046511627907
"36","ANG MO KIO","KEBUN BAHRU",760,1930,1170,5832,1
"37","ANG MO KIO","KEBUN BAHRU",0,20,40,2082,2
