shs_year,town_estate,number
2003,SENGKANG,123726
2003,PUNGGOL,38290
2003,SEMBAWANG,57033
2003,WOODLANDS,210723
2003,JURONG WEST,216722
2003,TAMPINES,228722
2003,YISHUN,158096
2003,CHOA CHU KANG,143626
2003,HOUGANG,172388
2003,BUKIT PANJANG,106705
2003,PASIR RIS,107506
2003,BUKIT BATOK,108209
2003,JURONG EAST,79217
2003,SERANGOON,73853
2003,BISHAN,66311
2003,BUKIT TIMAH,8794
2003,BEDOK,188909
2003,BUKIT MERAH,123741
2003,ANG MO KIO,146680
2003,TOA PAYOH,102054
2003,KALLANG WHAMPOA,94059
2003,QUEENSTOWN,75427
2003,GEYLANG,93545
2003,CLEMENTI,71047
2003,CENTRAL AREA,27622
2003,MARINE PARADE,21681
2008,SENGKANG,154478
2008,PUNGGOL,57767
2008,SEMBAWANG,63125
2008,WOODLANDS,225274
2008,JURONG_WEST,233920
2008,TAMPINES,227042
2008,YISHUN,161311
2008,CHOA CHU KANG,149978
2008,HOUGANG,168601
2008,BUKIT PANJANG,106661
2008,PASIR RIS,105737
2008,BUKIT BATOK,99491
2008,JURONG EAST,76440
2008,SERANGOON,71149
2008,BISHAN,64060
2008,BUKIT TIMAH,8402
2008,BEDOK,183302
2008,BUKIT MERAH,136297
2008,ANG MO KIO,144313
2008,TOA PAYOH,101107
2008,KALLANG WHAMPOA,97211
2008,QUEENSTOWN,78826
2008,GEYLANG,90808
2008,CLEMENTI,68508
2008,CENTRAL AREA,28607
2008,MARINE PARADE,20809
2013,SENGKANG,172748
2013,PUNGGOL,94829
2013,SEMBAWANG,68055
2013,WOODLANDS,229827
2013,JURONG_WEST,242395
2013,TAMPINES,237281
2013,YISHUN,169351
2013,CHOA CHU KANG,154915
2013,HOUGANG,165247
2013,BUKIT PANJANG,115993
2013,PASIR RIS,108328
2013,BUKIT BATOK,108197
2013,JURONG EAST,75371
2013,SERANGOON,72280
2013,BISHAN,62456
2013,BUKIT TIMAH,7830
2013,BEDOK,187313
2013,BUKIT MERAH,144714
2013,ANG MO KIO,144329
2013,TOA PAYOH,102544
2013,KALLANG WHAMPOA,103767
2013,QUEENSTOWN,80633
2013,GEYLANG,87967
2013,CLEMENTI,65397
2013,CENTRAL AREA,33396
2013,MARINE PARADE,22501
2018,SENGKANG,208400
2018,PUNGGOL,140600
2018,SEMBAWANG,76700
2018,WOODLANDS,227600
2018,JURONG_WEST,226500
2018,TAMPINES,222300
2018,YISHUN,185200
2018,CHOA CHU KANG,167200
2018,HOUGANG,163700
2018,BUKIT PANJANG,114800
2018,PASIR RIS,110400
2018,BUKIT BATOK,107200
2018,JURONG EAST,68400
2018,SERANGOON,61900
2018,BISHAN,55600
2018,BUKIT TIMAH,7600
2018,BEDOK,174900
2018,BUKIT MERAH,134700
2018,ANG MO KIO,126300
2018,TOA PAYOH,95000
2018,KALLANG WHAMPOA,93800
2018,QUEENSTOWN,76000
2018,GEYLANG,75400
2018,CLEMENTI,70200
2018,CENTRAL AREA,30300
2018,MARINE PARADE,18700
