,latitude,longitude,name
1,1.274588218,103.8434707,100 AM
2,1.305086818,103.9050989,i12 Katong
3,1.301385102,103.8376844,313@SOMERSET
4,1.312024918,103.7649605,321 CLEMENTI
5,1.334041711,103.8509555,600 @ TOA PAYOH
6,1.437130524,103.7952899,888 PLAZA
7,1.369223214,103.8484679,AMK HUB
8,1.439880955,103.801791,ADMIRALTY PLACE
9,1.273842639,103.801375,ALEXANDRA RETAIL CENTRE
10,1.28893478,103.8056078,ANCHORPOINT
11,1.30974242,103.8641016,APERIA
12,1.326124169,103.8437095,BALESTIER HILL SHOPPING CENTRE
13,1.342412642,103.7765394,BEAUTY WORLD CENTRE
14,1.341787998,103.7763041,BEAUTY WORLD PLAZA
15,1.324668974,103.9294055,BEDOK MALL
16,1.298195005,103.8556555,BUGIS CUBE
17,1.300117893,103.8561916,BUGIS JUNCTION
18,1.30075921,103.8552041,BUGIS+
19,1.379916507,103.7643171,BUKIT PANJANG PLAZA
20,1.293063359,103.8512935,CAPITOL PIAZZA
21,1.301497434,103.8364448,CATHAY CINELEISURE ORCHARD
22,1.436088677,103.78601,CAUSEWAY POINT
23,1.352361131,103.9437848,CENTURY SQUARE
24,1.284122711,103.8525446,CIMB Plaza
25,1.356341421,103.9892766,JEWEL CHANGI AIRPORT
26,1.334036379,103.9629176,CHANGI CITY POINT
27,1.285260737,103.8449429,CHINATOWN POINT
28,1.31147745,103.8567808,CITY SQUARE MALL
29,1.292378607,103.854663,CITYLINK MALL
30,1.315553543,103.7645964,CLEMENTI MALL
31,1.392094156,103.89498,COMPASS ONE
32,1.292702527,103.8109718,DAWSON PLACE
33,1.280864939,103.8101426,DEPOT HEIGHTS SHOPPING CENTRE
34,1.326053199,103.9296046,DJITSUN MALL
35,1.377775842,103.9547736,DOWNTOWN EAST
36,1.299216621,103.8579968,DUO
37,1.331676569,103.8493839,ERA APAC CENTRE
38,1.342586441,103.9530723,EASTPOINT MALL
39,1.377828766,103.9423643,ELIAS MALL
40,1.289509562,103.8556658,ESPLANADE MALL
41,1.325617641,103.6784106,FAIRPRICE HUB
42,1.384005825,103.7710296,FAJAR SHOPPING CENTRE
43,1.307311126,103.83394,FAR EAST PLAZA
44,1.306125226,103.8286755,FORUM THE SHOPPING MALL
45,1.301452993,103.8544952,FU LU SHOU COMPLEX
46,1.291307076,103.8500836,FUNAN DIGITALIFE MALL
47,1.348744232,103.6982984,GEK POH SHOPPING CENTRE
48,1.302857763,103.8652844,GOLDEN MILE COMPLEX
49,1.293154929,103.831928,GREAT WORLD CITY
50,1.385417687,103.7662355,GREENRIDGE SHOPPING CENTRE
51,1.387603302,103.8694236,GREENWICH V
52,1.33218812,103.8470778,HDB HUB
53,1.263796829,103.820219,HARBOURFRONT CENTRE
54,1.359541773,103.8851674,HEARTLAND MALL
55,1.363550958,103.7642361,HILLV2
56,1.378431008,103.7628428,HILLION MALL
57,1.310255419,103.7953504,HOLLAND ROAD SHOPPING CENTRE
58,1.375667283,103.8794503,HOUGANG 1
59,1.372436783,103.8937239,HOUGANG MALL
60,1.334917588,103.7468771,IMM
61,1.304042534,103.8318883,ION ORCHARD
62,1.276012226,103.8458978,INTERNATIONAL PLAZA
63,1.333237851,103.7401913,JCUBE
64,1.380605125,103.7600416,JUNCTION 10
65,1.350239431,103.8484776,JUNCTION 8
66,1.433031982,103.8416008,JUNCTION NINE
67,1.339452004,103.706685,JURONG POINT
68,1.314692135,103.8944805,KINEX
69,1.303843272,103.8727507,KALLANG WAVE MALL
70,1.303820402,103.90104,KATONG SHOPPING CENTRE
71,1.302337453,103.8764492,LEISURE PARK KALLANG
72,1.30510759,103.8307279,LIAT TOWERS
73,1.392242406,103.743191,LIMBANG SHOPPING CENTRE
74,1.385069923,103.7452389,LOT ONE
75,1.36645364,103.9645985,LOYANG POINT
76,1.30446379,103.8340052,LUCKY PLAZA
77,1.302004717,103.836584,MANDARIN GALLERY
78,1.279124883,103.854457,MARINA BAY FINANCIAL CENTRE TOWER 3
79,1.280467943,103.8534701,MARINA BAY LINK MALL
80,1.283994101,103.8594506,MARINA BAY SANDS
81,1.27704169,103.8534019,MARINA ONE
82,1.291039803,103.8576235,MARINA SQUARE
83,1.292046053,103.8599002,MILLENIA WALK
84,1.350675521,103.8718616,NEX
85,1.302424172,103.8346761,NGEE ANN CITY
86,1.42799996,103.836142,NORTHPOINT CITY
