PA,SZ,YOUNG,ECONOMY ACTIVE,AGED,TOTAL,DEPENDENCY
ANG MO KIO,ANG MO KIO TOWN CENTRE,410,750,340,3532,1
ANG MO KIO,ANG MO KIO TOWN CENTRE,100,200,60,2362,0.8
ANG MO KIO,ANG MO KIO TOWN CENTRE,30,120,70,2232,0.8333333333333334
ANG MO KIO,ANG MO KIO TOWN CENTRE,120,270,120,2542,0.8888888888888888
ANG MO KIO,ANG MO KIO TOWN CENTRE,410,750,290,3432,0.9333333333333333
ANG MO KIO,ANG MO KIO TOWN CENTRE,110,160,40,2302,0.9375
ANG MO KIO,ANG MO KIO TOWN CENTRE,30,110,30,2192,0.5454545454545454
ANG MO KIO,ANG MO KIO TOWN CENTRE,120,260,90,2492,0.8076923076923077
ANG MO KIO,CHENG SAN,80,170,250,2502,1.9411764705882353
ANG MO KIO,CHENG SAN,500,1110,430,4032,0.8378378378378378
ANG MO KIO,CHENG SAN,80,180,120,2392,1.1111111111111112
ANG MO KIO,CHENG SAN,780,2710,1820,7392,0.959409594095941
ANG MO KIO,CHENG SAN,1000,2960,1740,7702,0.9256756756756757
ANG MO KIO,CHENG SAN,130,220,170,2512,1.3636363636363635
ANG MO KIO,CHENG SAN,570,1070,410,3992,0.9158878504672897
ANG MO KIO,CHENG SAN,80,180,100,2372,1
ANG MO KIO,CHENG SAN,880,2530,1450,6852,0.9209486166007905
ANG MO KIO,CHENG SAN,1140,2820,1430,7302,0.9113475177304965
ANG MO KIO,CHENG SAN,0,40,10,2072,0.25
ANG MO KIO,CHONG BOON,170,320,210,2682,1.1875
ANG MO KIO,CHONG BOON,370,880,510,3772,1
ANG MO KIO,CHONG BOON,50,110,80,2262,1.1818181818181819
ANG MO KIO,CHONG BOON,740,2420,1860,7112,1.0743801652892562
ANG MO KIO,CHONG BOON,890,2550,1640,7072,0.9921568627450981
ANG MO KIO,CHONG BOON,0,50,120,2192,2.4
ANG MO KIO,CHONG BOON,200,390,260,2812,1.1794871794871795
ANG MO KIO,CHONG BOON,400,860,420,3662,0.9534883720930233
ANG MO KIO,CHONG BOON,50,130,90,2292,1.0769230769230769
ANG MO KIO,CHONG BOON,930,2230,1460,6592,1.0717488789237668
ANG MO KIO,CHONG BOON,950,2470,1370,6722,0.9392712550607287
ANG MO KIO,CHONG BOON,0,80,190,2302,2.375
ANG MO KIO,KEBUN BAHRU,180,480,400,3062,1.2083333333333333
ANG MO KIO,KEBUN BAHRU,200,310,140,2652,1.096774193548387
ANG MO KIO,KEBUN BAHRU,430,790,410,3592,1.0632911392405062
ANG MO KIO,KEBUN BAHRU,720,2150,1400,6352,0.986046511627907
ANG MO KIO,KEBUN BAHRU,760,1930,1170,5832,1
ANG MO KIO,KEBUN BAHRU,0,20,40,2082,2
ANG MO KIO,KEBUN BAHRU,220,530,390,3112,1.150943396226415
ANG MO KIO,KEBUN BAHRU,140,280,120,2562,0.9285714285714286
ANG MO KIO,KEBUN BAHRU,360,720,370,3422,1.0138888888888888
ANG MO KIO,KEBUN BAHRU,690,1960,1170,5852,0.9489795918367347
ANG MO KIO,KEBUN BAHRU,650,1750,960,5332,0.92
ANG MO KIO,KEBUN BAHRU,10,50,90,2162,2
ANG MO KIO,SEMBAWANG HILLS,30,90,60,2202,1
ANG MO KIO,SEMBAWANG HILLS,900,1560,740,5082,1.0512820512820513
ANG MO KIO,SEMBAWANG HILLS,0,20,0,2052,0
ANG MO KIO,SEMBAWANG HILLS,30,80,60,2182,1.125
ANG MO KIO,SEMBAWANG HILLS,10,30,0,2052,0.3333333333333333
ANG MO KIO,SEMBAWANG HILLS,40,90,60,2212,1.1111111111111112
ANG MO KIO,SEMBAWANG HILLS,760,1330,720,4702,1.112781954887218
ANG MO KIO,SEMBAWANG HILLS,10,10,10,2062,2
ANG MO KIO,SEMBAWANG HILLS,30,80,40,2162,0.875
ANG MO KIO,SHANGRI-LA,370,590,490,3402,1.4576271186440677
ANG MO KIO,SHANGRI-LA,230,480,100,2782,0.6875
ANG MO KIO,SHANGRI-LA,190,410,250,2852,1.0731707317073171
ANG MO KIO,SHANGRI-LA,390,1270,960,4672,1.062992125984252
ANG MO KIO,SHANGRI-LA,620,1570,810,4982,0.910828025477707
ANG MO KIO,SHANGRI-LA,10,10,40,2082,5
ANG MO KIO,SHANGRI-LA,410,720,520,3532,1.2916666666666667
ANG MO KIO,SHANGRI-LA,270,470,110,2822,0.8085106382978723
ANG MO KIO,SHANGRI-LA,170,390,220,2762,1
ANG MO KIO,SHANGRI-LA,470,1250,770,4522,0.992
ANG MO KIO,SHANGRI-LA,620,1540,660,4772,0.8311688311688312
ANG MO KIO,SHANGRI-LA,0,20,60,2102,3
ANG MO KIO,TAGORE,0,20,0,2052,0
ANG MO KIO,TAGORE,140,330,120,2572,0.7878787878787878
ANG MO KIO,TAGORE,820,1660,920,5282,1.0481927710843373
ANG MO KIO,TAGORE,30,90,20,2152,0.5555555555555556
ANG MO KIO,TAGORE,20,40,0,2092,0.5
ANG MO KIO,TAGORE,100,290,130,2532,0.7931034482758621
ANG MO KIO,TAGORE,750,1490,900,5022,1.1073825503355705
ANG MO KIO,TAGORE,30,60,10,2122,0.6666666666666666
ANG MO KIO,TAGORE,0,10,0,2042,0
ANG MO KIO,TOWNSVILLE,100,240,260,2612,1.5
ANG MO KIO,TOWNSVILLE,310,520,200,3072,0.9807692307692307
ANG MO KIO,TOWNSVILLE,180,480,250,2912,0.8958333333333334
ANG MO KIO,TOWNSVILLE,360,1260,1100,4812,1.1587301587301588
ANG MO KIO,TOWNSVILLE,880,2560,1700,7152,1.0078125
ANG MO KIO,TOWNSVILLE,130,290,270,2682,1.3793103448275863
ANG MO KIO,TOWNSVILLE,330,470,160,3002,1.0425531914893618
ANG MO KIO,TOWNSVILLE,170,400,240,2812,1.025
ANG MO KIO,TOWNSVILLE,380,1110,790,4302,1.054054054054054
ANG MO KIO,TOWNSVILLE,960,2400,1330,6662,0.9541666666666667
ANG MO KIO,TOWNSVILLE,0,10,0,2032,0
ANG MO KIO,YIO CHU KANG EAST,0,10,0,2032,0
ANG MO KIO,YIO CHU KANG EAST,70,150,40,2272,0.7333333333333333
